ID,RA,e_RA,DEC,e_DEC,Sint,e_Sint,Spk,e_Spk,MAJAX,e_MAJAX,MINAX,e_MINAX,PA,e_PA,Island_RMS,S_Code,Mosaic_Name
J122924.7+520136,187.3531,2.0,52.0267,2.0,174.1,18.1,150.2,15.3,27.9,0.6,26.0,0.5,-53.9,11.6,2.9,C,R38D64
J122926.8+520058,187.36205,2.0,52.01632,2.0,169.0,17.6,115.7,12.0,31.3,0.9,29.2,0.8,-28.5,16.7,2.9,C,R38D64
J122932.9+495810,187.38736,2.1,49.96963,2.1,64.1,8.1,53.3,6.1,28.2,1.6,26.7,1.5,-37.2,42.1,2.9,S,R38D64
J122940.4+502820,187.41866,2.0,50.47232,2.0,481.8,48.4,429.5,43.0,27.5,0.2,25.5,0.2,-75.8,3.7,2.8,C,R38D64
J122946.3+485400,187.44324,2.0,48.90015,2.0,170.1,17.8,130.5,13.5,29.6,0.8,27.5,0.7,90.0,16.7,3.1,S,R38D63
J122954.0+505758,187.47511,2.0,50.96624,2.0,309.6,31.6,255.2,25.7,26.7,0.3,25.4,0.3,-1.7,8.6,2.6,M,R38D64
J122959.9+501017,187.49997,2.7,50.17156,3.2,46.0,6.3,22.7,3.8,41.4,6.2,30.6,3.8,-27.4,22.0,2.9,S,R38D64
J123004.9+504744,187.52045,2.2,50.7956,2.7,25.3,5.1,23.2,3.4,32.5,4.4,20.9,1.8,21.1,12.2,2.6,S,R38D64
J123010.7+503154,187.54469,2.0,50.53182,2.0,95.6,10.6,89.4,9.4,26.3,0.8,25.4,0.8,85.8,38.3,2.7,S,R38D64
J123014.5+502938,187.56071,2.5,50.49394,2.4,34.1,5.6,24.4,3.8,31.0,3.8,28.2,3.2,-65.7,52.9,2.7,S,R38D64
J123015.5+494049,187.56458,2.0,49.6803,2.0,329.3,33.3,300.0,30.1,26.2,0.2,26.2,0.2,88.1,90.0,2.7,S,R38D64
J123020.7+501120,187.58633,2.1,50.18902,2.2,51.5,7.0,42.7,5.2,28.2,2.0,26.7,1.8,-38.4,49.2,2.8,S,R38D64
J123024.0+490928,187.60039,2.1,49.15779,2.1,53.5,7.3,50.4,5.8,26.2,1.6,25.3,1.5,65.8,66.4,2.9,S,R39D63
J123026.8+501010,187.61185,2.0,50.16946,2.0,329.5,33.3,296.0,29.7,26.5,0.3,26.3,0.3,-51.3,55.1,2.8,S,R38D64
J123027.6+520000,187.61542,2.6,52.00024,2.3,26.2,5.5,23.3,3.7,28.8,3.8,24.4,2.8,-85.7,33.0,2.8,S,R38D64
J123030.8+510132,187.62856,2.2,51.02572,2.2,24.8,5.2,26.6,3.7,24.8,2.5,23.4,2.2,-29.5,70.0,2.6,S,R38D64
J123032.6+492509,187.63625,2.1,49.41924,2.1,56.5,7.4,49.2,5.7,28.3,1.7,25.3,1.4,-32.6,20.4,2.8,S,R39D63
J123033.0+491016,187.63774,2.5,49.17111,2.5,29.0,5.7,23.7,3.8,28.5,3.7,26.8,3.3,-41.3,83.2,2.9,S,R39D63
J123039.0+500950,187.66263,2.8,50.16397,2.7,32.5,5.5,21.0,3.6,35.3,5.4,27.4,3.5,48.9,25.7,2.8,S,R38D64
J123040.4+510814,187.66858,2.2,51.1375,2.2,46.1,6.5,38.7,4.8,27.8,2.0,26.7,1.9,-54.7,73.6,2.7,S,R38D64
J123048.7+485757,187.70302,2.0,48.9659,2.0,148.7,15.7,136.7,14.0,26.6,0.6,25.6,0.5,34.7,21.1,2.9,S,R39D63
J123051.3+503737,187.71388,2.1,50.62704,2.1,71.9,8.4,56.6,6.3,29.3,1.5,27.1,1.3,78.4,26.0,2.6,S,R38D64
J123057.9+514039,187.74158,2.8,51.67776,2.4,41.9,6.1,24.9,3.9,35.7,4.5,29.5,3.2,86.2,28.0,2.7,S,R38D64
J123102.7+493441,187.76135,2.1,49.5781,2.1,78.1,9.1,63.6,7.0,28.2,1.3,27.3,1.2,84.2,56.2,2.8,S,R38D64
J123106.0+501108,187.77538,2.1,50.18577,2.1,64.3,7.9,55.9,6.2,28.1,1.4,25.6,1.2,-13.0,22.6,2.7,S,R38D64
J123117.2+490319,187.82173,2.0,49.0555,2.0,110.8,12.2,92.3,9.7,27.6,0.9,27.2,0.9,-42.3,85.8,2.9,S,R39D63
J123118.9+492227,187.82877,2.1,49.37433,2.1,62.9,7.9,53.3,6.1,28.4,1.6,25.9,1.3,-27.4,23.3,2.8,S,R39D63
J123129.3+491539,187.87228,2.3,49.26103,2.1,176.6,18.4,65.8,7.2,49.7,2.9,27.0,1.1,-7.1,4.5,2.9,M,R39D63
J123131.0+503619,187.87936,2.2,50.60549,2.3,43.7,6.1,32.3,4.2,30.7,2.7,27.5,2.2,-4.8,33.2,2.6,S,R38D64
J123132.1+514439,187.88414,2.1,51.74437,2.1,155.6,16.1,78.1,8.3,39.6,1.6,31.4,1.1,-38.1,7.9,2.7,S,R38D64
J123148.4+504252,187.95203,2.4,50.71448,2.3,17.5,4.8,19.7,3.1,25.2,3.4,22.0,2.6,-74.3,40.8,2.5,S,R38D64
J123159.4+493338,187.99786,2.3,49.56058,2.5,47.8,6.5,29.9,4.2,34.0,3.5,29.4,2.7,7.0,27.9,2.7,S,R39D63
J123205.9+491027,188.02484,2.4,49.17424,2.3,63.4,7.8,38.1,4.9,36.6,3.3,28.4,2.1,52.2,13.7,2.9,S,R39D63
J123208.7+500708,188.03635,2.0,50.11916,2.1,77.6,8.9,63.0,6.8,29.2,1.3,26.4,1.0,-1.0,18.0,2.5,S,R38D64
J123212.9+504924,188.05409,2.0,50.82334,2.0,269.3,27.6,163.1,16.5,40.7,0.9,24.6,0.4,-13.0,2.0,2.5,M,R38D64
